filename	Cadaverine-C2:0	Cadaverine-C3:0	Cadaverine-C5:0	Cadaverine-C6:0	Cadaverine-C7:0	Dopamine-C2:0	Histamine-C2:0	Histamine-C3:0	Histamine-C4:0	Histamine-C5:0	Histamine-C6:0	Serotonin-C2:0	Sulfadimethoxine	Sulfamethazine	Tryptophan-C3:0
HNRC_100H2O_P3_C8.mzML	0.236376073951184	0.1057406106616234	0.0	0.0	0.0	0.0	0.0055791959486266	0.0	0.0	0.0	0.0	0.0140903789244368	1.427123954724269	1.0	0.0
HNRC_100H2O_P3_C9.mzML	6.659920642921581	2.772825861618833	0.3209526985284044	0.0	0.0	0.0070407564513168	1.183499414515366	0.6022994941309366	0.1098899340586622	0.3603784066029225	0.0247377468276555	0.0	2.2211575793764653	1.0	0.0
HNRC_100H2O_P3_D1.mzML	8.440062460347367	4.277239263079184	0.1437230075006464	0.0026152716607075	0.0	0.0106379363945124	5.507555961789151	2.1189973510211098	0.1131732815308218	0.026528513273186	0.0	0.0	0.9969556630210212	1.0	0.018646600221102
HNRC_100H2O_P3_D10.mzML	5.429526891400736	2.4465743298075475	0.364442339773211	0.0241158941488397	0.0	0.0030760223281451	0.0112749619883709	0.0045765416831193	0.0002877610526019	0.0	0.0	0.0	0.8239293634719538	1.0	0.0
HNRC_100H2O_P3_D11.mzML	6.32904246444008	4.81895521138861	0.6486266770702084	0.0050427028822083	0.0	0.1449320496772434	0.0211808157250168	0.037649877148306	0.003423466968447	0.0	0.0005805454811308	0.0017971438668577	0.9966940666702948	1.0	0.0
HNRC_100H2O_P3_D12.mzML	0.1564182480574537	0.0309679648711812	0.010770520396272	0.0	0.0	0.0	0.0216423888019903	0.0	0.0	0.0	0.0	0.0	0.8537941576336348	1.0	0.0
HNRC_100H2O_P3_D2.mzML	27.285172753631468	25.66189092355376	1.1342527596523284	0.0625280854434725	0.0	0.0008926089550402	3.899755759644637	1.4328557663466894	0.5481886880348594	0.3272506809174999	0.0328889469977553	0.0	1.1181133393908165	1.0	0.0
HNRC_100H2O_P3_D4.mzML	1.2144741483256438	1.0572786300382204	0.0844968769306123	0.0	0.0	0.0070207738744315	0.5457941922639088	0.2967194670379059	0.0362839050560136	0.0189256104716145	0.0	0.0030166775030431	0.6741035221420304	1.0	0.0
HNRC_100H2O_P3_D5.mzML	0.5639155565767592	0.4240729294780505	0.0891495039346441	0.0021215812347519	0.0	0.0037666171804565	0.0	0.0	0.0	0.0	0.0	0.0021502422884078	0.5818382419976972	1.0	0.0012746732278102
HNRC_100H2O_P3_D6.mzML	0.6373473359172941	0.469964648558685	0.024449897892872	0.0	0.0	0.0122943672428664	0.0536911382596346	0.0194790271866513	0.0011925753057454	0.0	0.0	0.008522455543938	2.5863212325693743	1.0	0.0
HNRC_100H2O_P3_D7.mzML	8.317686116156887	6.2015930345944295	0.1761157982411959	0.0012306561834999	0.0	0.001540275058538	0.1135620208909204	0.0425110963922611	0.0037876509219339	0.0	0.0	0.0	1.3955054150852968	1.0	0.0005447196623806
HNRC_100H2O_P3_D8.mzML	0.491316117951513	0.254296897576924	0.0329613109642745	0.0	0.0	0.0112563574851469	0.0	0.0067537968269911	0.0	0.0	0.0	0.0171702088362596	1.3427606383437238	1.0	0.0
HNRC_100H2O_P3_D9.mzML	36.51735707823631	31.791943593408146	12.968205163022722	0.1640291538162542	0.0093851151911818	0.0950522361839324	2.4452170665924355	2.254017594810159	3.461645927784218	0.7188024801791052	0.0215450028939949	0.0144673267125066	1.8158119735008516	1.0	0.0022418531072679
HNRC_100H2O_P3_E1.mzML	56.3524563377002	41.12982950179726	1.6941140822555387	0.0523559797671464	0.0	0.0030153301217348	1.4561357187822828	0.8275906755891396	0.9638948640819844	1.7062229873362065	0.0722087350995317	0.0	1.3984157512236943	1.0	0.0
HNRC_100H2O_P3_E10.mzML	18.839094763131317	13.055673582180354	11.03715415221112	0.7115246500347637	0.1674247002494553	0.0	0.0	0.1205665570153999	0.0008430981543272	0.0129580386319759	0.0	0.0	1.702781615235001	1.0	0.0
HNRC_100H2O_P3_E11.mzML	21.968317792489447	11.402358285726972	0.2064561701246861	0.008378308428534	0.0	0.0	1.775939537884091	0.5112216136636129	0.0432752729769472	0.0144998764622296	0.0	0.0114198171193802	2.825432585830002	1.0	0.0083435908812355
HNRC_100H2O_P3_E12.mzML	2.5038095919862973	0.6967859563600693	0.0249327540488371	0.0	0.0	0.0064945583948354	0.0404563079703235	0.0054537625756202	0.011875549974679	0.0030473324298203	0.0	0.0	0.8056668627657558	1.0	0.0
HNRC_100H2O_P3_E2.mzML	5.496690057538145	3.4967961357762967	0.113455020806791	0.0	0.0	0.0047781544246458	0.2703660436761432	0.3924668096649203	0.0417683223059638	0.0431452229679267	0.0	0.0	1.8295329126332835	1.0	0.0031588739673164
HNRC_100H2O_P3_E4.mzML	3.548008073095733	3.39260789620074	1.3240989144940236	0.0339719667332345	0.0032152072689996	0.0057116083479738	0.0	0.0045332049059753	0.0	0.0	0.0	0.0029418695052577	1.059633843710528	1.0	0.0
HNRC_100H2O_P3_E5.mzML	0.1753269089476658	0.060356870205712	0.0740287046106653	0.0	0.0	0.0228924103314955	0.0	0.0	0.0159190318569513	0.0	0.0	0.0	0.7108122481715269	1.0	0.0
HNRC_100H2O_P3_E6.mzML	27.817400814762923	22.572276534737632	2.5707131656845728	0.0726637114700341	0.0	0.0013239011302402	1.443251137361862	1.0740902877449785	0.0269215518391458	0.0145900816696388	0.0015680214576148	0.0	1.202208325250368	1.0	0.0030268624602592
HNRC_100H2O_P3_E7.mzML	1.804076216168346	0.2080502476276116	0.0040397702887739	0.0	0.0	0.1671731281464375	1.000976340833691	0.3135282676966885	0.0250223784512885	0.0	0.0	0.0	1.04864584823527	1.0	0.0008389364615478
HNRC_100H2O_P3_E8.mzML	2.146329532768924	1.2617419594714556	0.1772134444459307	0.0019211514117134	0.0	0.0233711682236171	0.4894443361821352	0.1701955197036727	0.0343742057667565	0.0016438918067354	0.0	0.0	0.8116781015986205	1.0	0.00263389024411
HNRC_100H2O_P3_E9.mzML	30.544552887423677	20.69686611537048	0.527949623681196	0.0184641673453791	0.0	0.0	5.953615411610182	1.382537588603983	0.167660420652448	0.1674362953331146	0.0	0.0152169163989847	1.4064936935895545	1.0	0.0
HNRC_100H2O_P3_F1.mzML	12.32505810559181	8.256275956909736	0.1093241679022757	0.0	0.0	0.0137316302910091	9.914870395762792	4.483115198615584	0.5546942635185362	0.0499091559634797	0.0	0.0068528359552719	0.9272895320985008	1.0	0.0025199336830297
HNRC_100H2O_P3_F10.mzML	2.3433993154267103	1.642743819868375	0.1182391669643056	0.0008652547118031	0.0005720524560264	0.0009897709182017	0.2990169758052725	0.1842416118791766	0.0438013418291754	0.0008442205978832	0.0	0.0004420217552014	0.8229809208551856	1.0	0.0
HNRC_100H2O_P3_F11.mzML	5.812707663592601	4.158994984418635	0.5036522119909678	0.0105379197823533	0.0	0.0233418934112753	3.513166194184364	1.786688602507556	0.1946835189262576	0.0874836191968504	0.0026358584464125	0.0080325472013337	0.9770353670003352	1.0	0.0
HNRC_100H2O_P3_F12.mzML	0.9990525607312912	0.9471844549321404	0.1322806708629386	0.0352612819848131	0.0	0.0163441735759364	0.0317007322198591	0.0256935691787027	0.0020513134461837	0.0	0.0	0.0040942385670621	2.02554539382709	1.0	0.0
HNRC_100H2O_P3_F2.mzML	3.6311684911207527	1.5053384360381254	0.0012663318336707	0.0	0.0	0.0035520621502229	0.0440994159097383	0.0104068526488788	0.0	0.0	0.0	0.0	0.96320513561254	1.0	0.0
HNRC_100H2O_P3_F4.mzML	1.5802225162612498	0.8166003428304834	0.007273379126818	0.0	0.0	0.0	0.4527468527690877	0.1029438707502894	0.0022967173346995	0.0	0.0	0.0	1.1392823622324015	1.0	0.0
HNRC_100H2O_P3_F5.mzML	0.1570768895579738	0.0984261376716955	0.0	0.0	0.0	0.0039058615615428	0.0731564958831331	0.0456097165735957	0.0	0.0072921546259181	0.0	0.004290632905279	1.3597775197486563	1.0	0.0
HNRC_100H2O_P3_F6.mzML	19.508833783661448	14.674020459914832	0.1357102253788192	0.0	0.0	0.0	0.7388677830985945	0.4050393796612763	0.4434201014718473	0.4675607159970953	0.0	0.0	1.520922770704318	1.0	0.0
HNRC_100H2O_P3_F7.mzML	0.5876341386151882	0.123329225706354	0.0057267422326982	0.0	0.0	0.0280512588179558	0.2577529969144801	0.1100914456770253	0.0	0.0	0.0	0.0158428637870865	3.021335128718298	1.0	0.0
HNRC_100H2O_P3_F8.mzML	0.2499937358431767	0.1488000305882543	0.0144747891306815	0.0	0.0	0.0215034298141277	0.2713429920926487	0.1470750084514771	0.0234278609431122	0.0145023616898134	0.0	0.0	1.172332362605818	1.0	0.0016908944627181
HNRC_100H2O_P3_F9.mzML	0.0426010237077203	0.0061705025635505	0.0049693829558597	0.0	0.0	0.0008713870083673	0.0493269991749422	0.0102887006532573	0.0	0.0	0.0	0.0	0.8009635255960569	1.0	0.0013066600327699
HNRC_100H2O_P3_G1.mzML	0.232270128140528	0.1161097213489759	0.0870208479184038	0.0016847335744236	0.0	0.0010626292218669	0.0204560909484123	0.0038926159782513	0.0	0.0	0.0	0.0	4.065350628811627	1.0	0.0
HNRC_100H2O_P3_G10.mzML	1.0214239781010437	0.9781144270293842	0.0788091912436506	0.0	0.0	0.0075623510848042	0.2162813958385039	0.061554523914616	0.008691956614985	0.0	0.0	0.0011976488674925	2.640000127208576	1.0	0.0059413693022649
HNRC_100H2O_P3_G11.mzML	0.3802402150763455	0.1663880721722672	0.0218285725053244	0.0	0.0	0.0034729626177134	0.0156472454174037	0.0080913729815253	0.0	0.0	0.0	0.0	0.909451930894178	1.0	0.0
HNRC_100H2O_P3_G12.mzML	6.293153926982179	2.867211373685658	2.097969125746645	0.5874910966777385	0.1173318946974986	0.0277981819592245	0.0	0.0	0.0	0.0065148517993526	0.0	0.0153797928082312	0.8679507901918886	1.0	0.0
